policy,k,h,H,ell_o,ell_s,C,D,Omega,Lambda,chi,gamma,gamma_real,C_shock,chi_shock_fluid,R,event_fraction,mean_T_tilde,mean_shock_delay,median_shock_delay,q90_shock_delay,q95_shock_delay,q99_shock_delay,ES95_shock_delay,prob_delay_ge_one_window,prob_negative_delay,mean_shock_blocked_fraction,prob_any_shock_block,mean_productive_A_shock,mean_productive_B_shock,mean_architecture_advantage_tilde,diffuse_mean_shock_delay,diffuse_q95_shock_delay,diffuse_ES95_shock_delay,diffuse_prob_negative_delay,q95_resilience_contrast,ES95_resilience_contrast
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,65.021,1.296,1.0,3.0,5.0,7.0,5.879310344827586,0,0,0.04780555555555556,0.705,23.87,24.088,-17.902,1.125,4.0,4.821782178217822,0,1.0,1.0575281666097647
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,68.425,4.7,4.0,8.0,9.0,12.0,10.098765432098766,0,0,0.1445,0.999,21.419,21.631,-19.095,5.722,11.0,12.34920634920635,0,-2.0,-2.250440917107584
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,72.417,8.692,8.0,13.0,14.0,17.0,15.382716049382717,0,0,0.25325,1,18.66,18.877,-19.153,9.772,16.0,17.865384615384617,0,-2.0,-2.4826685660019
matched,7,0.466666666666667,0.217777777777778,0.7,0.7,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,77.227,13.502,13.0,18.0,20.0,24.0,21.619718309859156,0,0,0.3819722222222222,1,15.458,15.604,-18.785,14.214,21.0,22.774647887323944,0,-1.0,-1.154929577464788
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,54.824,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.010472222222222227,0.228,29.209,29.227,-26.974,0.0,0.0,0.0,0,0.0,0.0
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,56.026,1.202,1.0,3.0,4.0,6.0,4.7875,0,0,0.04530555555555556,0.699,28.265,28.282,-26.897,1.125,4.0,4.821782178217822,0,0.0,-0.03428217821782198
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,59.434,4.61,4.0,8.0,9.0,12.0,10.35,0,0,0.14297222222222222,1,25.427,25.444,-28.086,5.722,11.0,12.34920634920635,0,-2.0,-1.99920634920635
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,63.424,8.6,8.0,12.0,14.0,16.0,14.948275862068966,0,0,0.25177777777777777,1,22.253,22.291,-28.146,9.772,16.0,17.865384615384617,0,-2.0,-2.9171087533156506
matched,7,0.466666666666667,0.217777777777778,0.7,0.9,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,68.334,13.51,13.0,18.0,19.0,22.0,20.455696202531644,0,0,0.3813333333333333,1,18.484,18.525,-27.678,14.214,21.0,22.774647887323944,0,-2.0,-2.3189516847922995
matched,7,0.466666666666667,0.217777777777778,0.7,1.0,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,51.53,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.011111111111111117,0.242,31.409,31.318,-30.268,0.0,0.0,0.0,0,0.0,0.0
matched,7,0.466666666666667,0.217777777777778,0.7,1.0,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,52.839,1.309,1.0,3.0,4.0,6.0,4.681318681318682,0,0,0.0476388888888889,0.713,30.362,30.25,-30.084,1.125,4.0,4.821782178217822,0,0.0,-0.14046349689914006
matched,7,0.466666666666667,0.217777777777778,0.7,1.0,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,56.314,4.784,4.0,8.0,9.0,11.0,10.134328358208956,0,0,0.146,0.999,27.266,27.211,-31.206,5.722,11.0,12.34920634920635,0,-2.0,-2.214877990997394
matched,7,0.466666666666667,0.217777777777778,0.7,1.0,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,60.31,8.78,9.0,13.0,14.0,16.0,15.222222222222221,0,0,0.25422222222222224,1,23.901,23.819,-31.26,9.772,16.0,17.865384615384617,0,-2.0,-2.6431623931623953
matched,7,0.466666666666667,0.217777777777778,0.7,1.0,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,65.173,13.643,14.0,18.0,19.0,24.0,20.741176470588236,0,0,0.3823888888888889,1,19.904,19.868,-30.839,14.214,21.0,22.774647887323944,0,-2.0,-2.0334714167357077
matched,9,0.6,0.36,0.7,0.7,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,51.001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.016166666666666673,0.322,24.887,24.86,-30.797,0.0,0.0,0.0,0,0.0,0.0
matched,9,0.6,0.36,0.7,0.7,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,51.67,0.669,0.0,2.0,3.0,4.0,3.5285714285714285,0,0,0.038083333333333344,0.62,24.329,24.304,-31.253,1.125,4.0,4.821782178217822,0,-1.0,-1.2932107496463932
matched,9,0.6,0.36,0.7,0.7,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,54.878,3.877,4.0,7.0,8.0,10.0,9.052631578947368,0,0,0.13158333333333333,1,21.97,21.943,-32.642,5.722,11.0,12.34920634920635,0,-3.0,-3.2965747702589816
matched,9,0.6,0.36,0.7,0.7,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,58.781,7.78,7.0,12.0,13.0,16.0,14.369047619047619,0,0,0.2392777777777777,1,19.268,19.203,-32.789,9.772,16.0,17.865384615384617,0,-3.0,-3.496336996336998
matched,9,0.6,0.36,0.7,0.7,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,64.115,13.114,13.0,18.0,20.0,23.0,21.634615384615383,0,0,0.3805,1,15.666,15.621,-31.897,14.214,21.0,22.774647887323944,0,-1.0,-1.1400325027085607
matched,9,0.6,0.36,0.7,0.9,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,41.638,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.015138888888888894,0.326,29.847,29.866,-40.16,0.0,0.0,0.0,0,0.0,0.0
matched,9,0.6,0.36,0.7,0.9,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,42.347,0.709,0.0,2.0,2.0,4.0,2.412903225806452,0,0,0.037638888888888895,0.63,29.209,29.221,-40.576,1.125,4.0,4.821782178217822,0,-2.0,-2.40887895241137
matched,9,0.6,0.36,0.7,0.9,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,45.461,3.823,4.0,6.0,7.0,9.0,7.771084337349397,0,0,0.13191666666666668,1,26.463,26.535,-42.059,5.722,11.0,12.34920634920635,0,-4.0,-4.578122011856952
matched,9,0.6,0.36,0.7,0.9,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,49.345,7.707,8.0,11.0,12.0,14.0,12.984126984126984,0,0,0.2389999999999999,1,23.213,23.277,-42.225,9.772,16.0,17.865384615384617,0,-4.0,-4.881257631257633
matched,9,0.6,0.36,0.7,0.9,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,54.493,12.855,13.0,16.0,17.0,20.0,18.1,0,0,0.3811111111111111,1,18.97,18.937,-41.519,14.214,21.0,22.774647887323944,0,-4.0,-4.6746478873239425
matched,9,0.6,0.36,0.7,1.0,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,37.922,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.016558730158730165,0.341,32.095,32.348,-43.876,0.0,0.0,0.0,0,0.0,0.0
matched,9,0.6,0.36,0.7,1.0,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,38.621,0.699,1.0,2.0,2.0,3.0,2.2094594594594597,0,0,0.0398968253968254,0.647,31.447,31.668,-44.302,1.125,4.0,4.821782178217822,0,-2.0,-2.612322718758362
matched,9,0.6,0.36,0.7,1.0,60,36,0.6,1.0,0.6,0.6,0.6,36,1.0,1000,1,41.734,3.812,4.0,6.0,7.0,8.0,7.446428571428571,0,0,0.13380555555555557,1,28.634,28.809,-45.786,5.722,11.0,12.34920634920635,0,-4.0,-4.902777777777779
matched,9,0.6,0.36,0.7,1.0,60,36,0.6,1.0,0.6,0.5,0.5,30,1.2,1000,1,45.552,7.63,8.0,10.0,11.0,13.0,11.68,0,0,0.24041666666666658,1,25.168,25.266,-46.018,9.772,16.0,17.865384615384617,0,-5.0,-6.185384615384617
matched,9,0.6,0.36,0.7,1.0,60,36,0.6,1.0,0.6,0.4,0.4,24,1.5,1000,1,50.624,12.702,13.0,16.0,16.0,18.0,16.568,0,0,0.3821388888888889,1,20.543,20.605,-45.388,14.214,21.0,22.774647887323944,0,-5.0,-6.206647887323943
matched,15,1.0,1.0,0.7,0.7,60,36,0.6,1.0,0.6,1.0,1.0,60,0.6,1000,1,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,15.145,15.2,-60.088,0.0,0.0,0.0,0,0.0,0.0
matched,15,1.0,1.0,0.7,0.7,60,36,0.6,1.0,0.6,0.8,0.8,48,0.75,1000,1,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,15.145,15.2,-61.213,1.125,4.0,4.821782178217822,0,-4.0,-4.821782178217822
