policy,Omega,k,h,H,ell_o,ell_s,C,D,Lambda,chi,regime,ell_star,T_theory_concentrated,T_theory_diffuse,theory_architecture_advantage,R,event_fraction_capacity,event_fraction_free,event_fraction_diffuse,rmst_capacity,rmst_free,rmst_diffuse_capacity,rmst_capacity_penalty,rmst_architecture_advantage,mean_row_capacity_penalty,mean_row_architecture_advantage,mean_T_observed,median_T_observed,q90_T_observed,q95_T_observed,mean_blocked_fraction,prob_any_block,mean_first_block_attempt_conditional,mean_windows_started
matched,0.6,9,0.6,0.36,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,39.1316984795485,77.9217094224296,-38.7900109428811,200,1.0,1.0,1.0,41.88,41.45,81.825,0.4299999999999997,-39.945,0.43,-39.945,41.88,42.0,45.0,46.0,0.013588492977835898,0.35,30.84285714285714,1.98
matched,0.6,9,0.6,0.36,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,35.949578604108,77.9217094224296,-41.9721308183216,200,1.0,1.0,1.0,38.1,37.74,81.825,0.35999999999999943,-43.725,0.36,-43.725,38.1,38.0,41.0,42.0,0.014670101868612175,0.345,30.768115942028984,1.75
matched,0.6,10,0.666666666666667,0.444444444444444,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,41.336311388353394,77.9217094224296,-36.5853980340762,200,1.0,1.0,1.0,44.775,44.4,81.825,0.375,-37.050000000000004,0.375,-37.05,44.775,45.0,51.0,52.0,0.014857164854585651,0.39,30.025641025641026,1.98
matched,0.6,10,0.666666666666667,0.444444444444444,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,36.7784911646013,77.9217094224296,-41.1432182578283,200,1.0,1.0,1.0,39.675,39.245,81.825,0.4299999999999997,-42.150000000000006,0.43,-42.15,39.675,39.0,45.0,46.0,0.01633213283673429,0.385,29.753246753246753,1.83
matched,0.6,10,0.666666666666667,0.444444444444444,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,33.1291095000415,77.9217094224296,-44.792599922388,200,1.0,1.0,1.0,35.295,34.935,81.825,0.35999999999999943,-46.53,0.36,-46.53,35.295,35.0,39.0,41.0,0.016320156566921373,0.335,28.955223880597014,1.345
matched,0.6,10,0.666666666666667,0.444444444444444,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,30.1367937977557,77.9217094224296,-47.78491562467391,200,1.0,1.0,1.0,31.745,31.505,81.825,0.240000000000002,-50.08,0.24,-50.08,31.745,31.0,35.0,36.04999999999998,0.013090682125143575,0.235,26.95744680851064,1.05
matched,0.6,11,0.733333333333333,0.537777777777778,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,35.3721982243733,77.9217094224296,-42.5495111980563,200,1.0,1.0,1.0,38.81,38.325,81.825,0.48499999999999943,-43.015,0.485,-43.015,38.81,38.0,45.0,46.0,0.01738034796832917,0.4,28.35,1.685
matched,0.6,11,0.733333333333333,0.537777777777778,0.7,0.8,60,36,1.0,0.6,structural_win,0.7,31.1835347949018,77.9217094224296,-46.7381746275278,200,1.0,1.0,1.0,33.785,33.43,81.825,0.3549999999999969,-48.040000000000006,0.355,-48.04,33.785,34.0,39.0,39.04999999999998,0.016467218508080722,0.34,27.352941176470587,1.21
matched,0.6,11,0.733333333333333,0.537777777777778,0.7,0.9,60,36,1.0,0.6,structural_win,0.7,27.8685970271399,77.9217094224296,-50.0531123952896,200,1.0,1.0,1.0,29.965,29.735,81.825,0.23000000000000043,-51.86,0.23,-51.86,29.965,30.0,33.0,34.0,0.011993297348843544,0.23,24.956521739130434,1.01
matched,0.6,11,0.733333333333333,0.537777777777778,0.7,1.0,60,36,1.0,0.6,structural_win,0.7,25.178333414012698,77.9217094224296,-52.743376008416796,200,1.0,1.0,1.0,26.645,26.55,81.825,0.09499999999999886,-55.18000000000001,0.095,-55.18,26.645,26.0,29.0,30.0,0.008709777103895568,0.15,22.1,1.0
matched,0.6,13,0.866666666666667,0.751111111111111,0.7,0.7,60,36,1.0,0.6,structural_win,0.7,25.718527095283196,77.9217094224296,-52.20318232714639,200,1.0,1.0,1.0,28.535,28.255,81.825,0.28000000000000114,-53.290000000000006,0.28,-53.29,28.535,28.0,33.0,35.0,0.015476099065367814,0.32,21.234375,1.03
