panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block
A,product,matched,16,240,240,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,matched,16,240,360,1.5,0.0,0.0,0.8,14,500,1.0,273.406,270.0,302.0,319.0,0.20807154205534792,1.0
A,product,matched,16,240,360,1.5,0.25,0.0625,0.8,14,500,1.0,237.082,235.0,260.0,268.0,0.13007685491628757,1.0
A,product,matched,16,240,360,1.5,0.5,0.25,0.8,14,500,1.0,150.336,149.0,167.0,171.0,0.025683594893450148,0.866
A,product,matched,16,240,360,1.5,0.75,0.5625,0.8,14,500,1.0,32.952,33.0,36.0,37.0,0.00032917282607685083,0.012
A,product,matched,16,240,360,1.5,0.9,0.81,0.8,14,500,1.0,18.518,18.0,20.0,21.0,0.006135768934853603,0.112
A,product,matched,16,240,360,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.654,55.0,58.0,59.0,0.001795956130145814,0.068
A,product,uniform,4,60,36,0.6,0.25,0.0625,0.8,14,500,1.0,54.136,54.0,58.0,59.0,0.04870290003049742,0.758
A,product,uniform,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,50.552,50.0,54.0,54.0,0.19843437883889284,0.998
A,product,uniform,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,41.76,42.0,43.0,44.0,0.3969061545634703,1.0
A,product,uniform,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,37.288,37.0,38.0,39.0,0.5197230704727736,1.0
A,product,uniform,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.718,62.0,66.0,68.0,0.11584790104558752,0.972
A,product,uniform,4,60,60,1.0,0.25,0.0625,0.8,14,500,1.0,68.264,68.0,73.0,75.0,0.24656880346228008,1.0
A,product,uniform,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,70.97,71.0,74.0,76.0,0.42226106216891696,1.0
A,product,uniform,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,65.112,65.0,66.0,67.0,0.6047315275535858,1.0
A,product,uniform,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,59.878,61.0,62.0,62.0,0.6927645811022255,0.996
A,product,uniform,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,66.72,64.0,81.0,87.0,0.1757681321850684,0.978
A,product,uniform,4,60,90,1.5,0.25,0.0625,0.8,14,500,1.0,89.032,92.0,96.0,97.0,0.410839735295087,1.0
A,product,uniform,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,98.262,98.0,101.0,103.0,0.5685317622098256,1.0
A,product,uniform,4,60,90,1.5,0.75,0.5625,0.8,14,500,1.0,94.69,95.0,96.0,97.0,0.7202353871952963,1.0
A,product,uniform,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,87.4,91.0,92.0,92.0,0.7825192270547803,0.996
A,product,uniform,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,8,120,72,0.6,0.0,0.0,0.8,14,500,1.0,111.282,111.0,114.0,116.0,0.0038368970812702676,0.238
A,product,uniform,8,120,72,0.6,0.25,0.0625,0.8,14,500,1.0,117.172,116.0,130.0,133.0,0.1617239796319825,1.0
A,product,uniform,8,120,72,0.6,0.5,0.25,0.8,14,500,1.0,122.616,121.0,147.0,149.0,0.43669518008227426,1.0
A,product,uniform,8,120,72,0.6,0.75,0.5625,0.8,14,500,1.0,80.69,81.0,82.0,83.0,0.6125626733957165,1.0
A,product,uniform,8,120,72,0.6,0.9,0.81,0.8,14,500,1.0,73.194,73.0,74.0,74.0,0.7469759601706971,1.0
A,product,uniform,8,120,72,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,8,120,120,1.0,0.0,0.0,0.8,14,500,1.0,124.808,125.0,130.0,132.0,0.1302775504135916,1.0
A,product,uniform,8,120,120,1.0,0.25,0.0625,0.8,14,500,1.0,141.77,141.0,148.0,151.0,0.30459796048010845,1.0
A,product,uniform,8,120,120,1.0,0.5,0.25,0.8,14,500,1.0,147.084,144.0,159.0,165.0,0.5274750348978386,1.0
A,product,uniform,8,120,120,1.0,0.75,0.5625,0.8,14,500,1.0,128.26,128.0,130.0,131.0,0.7412830777921674,1.0
A,product,uniform,8,120,120,1.0,0.9,0.81,0.8,14,500,1.0,121.17,121.0,122.0,122.0,0.8431044122295986,1.0
A,product,uniform,8,120,120,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,8,120,180,1.5,0.0,0.0,0.8,14,500,1.0,135.778,134.0,155.0,163.0,0.19849952568396548,1.0
A,product,uniform,8,120,180,1.5,0.25,0.0625,0.8,14,500,1.0,184.58,185.0,190.0,192.0,0.444201402346043,1.0
A,product,uniform,8,120,180,1.5,0.5,0.25,0.8,14,500,1.0,196.182,196.0,201.0,203.0,0.627279974397581,1.0
A,product,uniform,8,120,180,1.5,0.75,0.5625,0.8,14,500,1.0,187.678,188.0,189.0,190.0,0.8119692889930556,1.0
A,product,uniform,8,120,180,1.5,0.9,0.81,0.8,14,500,1.0,181.178,181.0,182.0,182.0,0.8926517936973509,1.0
A,product,uniform,8,120,180,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,16,240,144,0.6,0.0,0.0,0.8,14,500,1.0,222.202,222.0,227.0,228.0,0.005404710927525585,0.514
A,product,uniform,16,240,144,0.6,0.25,0.0625,0.8,14,500,1.0,270.576,270.0,292.0,295.0,0.31205252561088637,1.0
A,product,uniform,16,240,144,0.6,0.5,0.25,0.8,14,500,1.0,296.61,296.0,305.0,307.0,0.6021334745757674,1.0
A,product,uniform,16,240,144,0.6,0.75,0.5625,0.8,14,500,1.0,155.302,155.0,158.0,158.0,0.7537086283966964,1.0
A,product,uniform,16,240,144,0.6,0.9,0.81,0.8,14,500,1.0,145.18,145.0,146.0,146.0,0.8663662055469328,1.0
A,product,uniform,16,240,144,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,16,240,240,1.0,0.0,0.0,0.8,14,500,1.0,251.108,251.0,259.0,262.0,0.13691437042106377,1.0
A,product,uniform,16,240,240,1.0,0.25,0.0625,0.8,14,500,1.0,285.18,283.0,298.0,304.0,0.3424623218501182,1.0
A,product,uniform,16,240,240,1.0,0.5,0.25,0.8,14,500,1.0,344.748,342.0,395.0,409.0,0.6442300277227928,1.0
A,product,uniform,16,240,240,1.0,0.75,0.5625,0.8,14,500,1.0,250.606,250.0,253.0,253.0,0.8273901943624361,1.0
A,product,uniform,16,240,240,1.0,0.9,0.81,0.8,14,500,1.0,241.198,241.0,242.0,242.0,0.9160137050352603,1.0
A,product,uniform,16,240,240,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
A,product,uniform,16,240,360,1.5,0.0,0.0,0.8,14,500,1.0,273.406,270.0,302.0,319.0,0.20807154205534792,1.0
A,product,uniform,16,240,360,1.5,0.25,0.0625,0.8,14,500,1.0,370.194,370.0,377.0,379.0,0.45726753918712665,1.0
A,product,uniform,16,240,360,1.5,0.5,0.25,0.8,14,500,1.0,388.836,386.0,400.0,407.0,0.6719699303414368,1.0
A,product,uniform,16,240,360,1.5,0.75,0.5625,0.8,14,500,1.0,369.532,369.0,372.0,372.0,0.8678232875811086,1.0
A,product,uniform,16,240,360,1.5,0.9,0.81,0.8,14,500,1.0,361.17,361.0,362.0,362.0,0.9409100039546576,1.0
A,product,uniform,16,240,360,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,40,24,0.6,0.0,0.0,0.8,14,500,1.0,55.986,56.0,58.0,59.0,0.008582708430449148,0.304
B,product,matched,4,40,24,0.6,0.5,0.25,0.8,14,500,1.0,41.308,41.0,43.0,44.0,0.01677206599602821,0.406
B,product,matched,4,40,24,0.6,0.9,0.81,0.8,14,500,1.0,18.006,18.0,20.0,20.0,0.026755115060378223,0.366
B,product,matched,4,40,24,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,40,40,1.0,0.0,0.0,0.8,14,500,1.0,61.188,61.0,65.0,66.0,0.10372185599630711,1.0
B,product,matched,4,40,40,1.0,0.5,0.25,0.8,14,500,1.0,45.402,45.0,48.0,49.0,0.11444185921370438,1.0
B,product,matched,4,40,40,1.0,0.9,0.81,0.8,14,500,1.0,17.964,18.0,20.0,20.0,0.025816877503376367,0.332
B,product,matched,4,40,40,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,40,60,1.5,0.0,0.0,0.8,14,500,1.0,76.688,76.0,79.0,81.0,0.2931136617953354,1.0
B,product,matched,4,40,60,1.5,0.5,0.25,0.8,14,500,1.0,58.356,62.0,64.0,65.0,0.31273725166666133,1.0
B,product,matched,4,40,60,1.5,0.9,0.81,0.8,14,500,1.0,18.03,18.0,20.0,21.0,0.027376147054064673,0.366
B,product,matched,4,40,60,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.722,55.0,58.0,59.0,0.001238358400049306,0.05
B,product,matched,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,41.04,41.0,43.0,44.0,0.012020314443996405,0.302
B,product,matched,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,17.978,18.0,20.0,20.0,0.019963180678970155,0.294
B,product,matched,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.834,62.0,66.0,68.0,0.11724512573306752,0.984
B,product,matched,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,41.624,41.0,45.0,46.0,0.02910414088513185,0.496
B,product,matched,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,17.928,18.0,20.0,20.0,0.01875743343866914,0.27
B,product,matched,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,65.814,64.0,79.0,85.0,0.16684780442208216,0.972
B,product,matched,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,41.794,41.0,45.0,46.0,0.03212306720080229,0.54
B,product,matched,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,17.982,18.0,20.0,20.0,0.019121569833675096,0.298
B,product,matched,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,120,72,0.6,0.0,0.0,0.8,14,500,1.0,55.612,55.0,58.0,58.0,0.0,0.0
B,product,matched,4,120,72,0.6,0.5,0.25,0.8,14,500,1.0,40.588,40.0,42.0,42.0,0.0,0.0
B,product,matched,4,120,72,0.6,0.9,0.81,0.8,14,500,1.0,17.738,18.0,19.0,19.0,0.0003952380952380952,0.008
B,product,matched,4,120,72,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,120,120,1.0,0.0,0.0,0.8,14,500,1.0,55.544,55.0,58.0,59.0,0.0,0.0
B,product,matched,4,120,120,1.0,0.5,0.25,0.8,14,500,1.0,40.672,40.0,42.0,43.0,4.54545454545454e-05,0.002
B,product,matched,4,120,120,1.0,0.9,0.81,0.8,14,500,1.0,17.848,18.0,19.0,19.0,0.0002861471861471862,0.006
B,product,matched,4,120,120,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,matched,4,120,180,1.5,0.0,0.0,0.8,14,500,1.0,55.754,55.0,58.0,59.0,0.0,0.0
B,product,matched,4,120,180,1.5,0.5,0.25,0.8,14,500,1.0,40.614,40.0,42.0,43.0,0.0,0.0
B,product,matched,4,120,180,1.5,0.9,0.81,0.8,14,500,1.0,17.794,18.0,19.0,19.0,0.0006857142857142857,0.012
B,product,matched,4,120,180,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,uniform,4,40,24,0.6,0.0,0.0,0.8,14,500,1.0,55.986,56.0,58.0,59.0,0.008582708430449148,0.304
B,product,uniform,4,40,24,0.6,0.5,0.25,0.8,14,500,1.0,54.284,54.0,58.0,59.0,0.25069744054248033,1.0
B,product,uniform,4,40,24,0.6,0.9,0.81,0.8,14,500,1.0,31.064,31.0,32.0,33.0,0.4227775864299606,1.0
B,product,uniform,4,40,24,0.6,1.0,1.0,0.8,14,500,1.0,28.0,28.0,28.0,28.0,0.5,1.0
B,product,uniform,4,40,40,1.0,0.0,0.0,0.8,14,500,1.0,61.188,61.0,65.0,66.0,0.10372185599630711,1.0
B,product,uniform,4,40,40,1.0,0.5,0.25,0.8,14,500,1.0,77.364,81.0,85.0,86.0,0.46016172706581243,1.0
B,product,uniform,4,40,40,1.0,0.9,0.81,0.8,14,500,1.0,46.81,47.0,48.0,48.0,0.6151082849698624,1.0
B,product,uniform,4,40,40,1.0,1.0,1.0,0.8,14,500,1.0,44.0,44.0,44.0,44.0,0.6818181818181818,1.0
B,product,uniform,4,40,60,1.5,0.0,0.0,0.8,14,500,1.0,76.688,76.0,79.0,81.0,0.2931136617953354,1.0
B,product,uniform,4,40,60,1.5,0.5,0.25,0.8,14,500,1.0,94.476,90.0,121.0,122.0,0.5450559501805325,1.0
B,product,uniform,4,40,60,1.5,0.9,0.81,0.8,14,500,1.0,66.652,67.0,68.0,68.0,0.72814329728497,1.0
B,product,uniform,4,40,60,1.5,1.0,1.0,0.8,14,500,1.0,64.0,64.0,64.0,64.0,0.78125,1.0
B,product,uniform,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.722,55.0,58.0,59.0,0.001238358400049306,0.05
B,product,uniform,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,50.534,50.0,54.0,55.0,0.19793132999402913,1.0
B,product,uniform,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,37.304,37.0,39.0,39.0,0.5182190568300514,0.996
B,product,uniform,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,uniform,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.834,62.0,66.0,68.0,0.11724512573306752,0.984
B,product,uniform,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,71.312,71.0,75.0,76.0,0.4248494490354799,1.0
B,product,uniform,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,60.18,61.0,62.0,62.0,0.6972357697054874,0.998
B,product,uniform,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,uniform,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,65.814,64.0,79.0,85.0,0.16684780442208216,0.972
B,product,uniform,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,98.254,98.0,102.0,103.0,0.5689655130583089,1.0
B,product,uniform,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,87.702,91.0,92.0,92.0,0.7830879818597465,0.998
B,product,uniform,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,uniform,4,120,72,0.6,0.0,0.0,0.8,14,500,1.0,55.612,55.0,58.0,58.0,0.0,0.0
B,product,uniform,4,120,72,0.6,0.5,0.25,0.8,14,500,1.0,41.014,40.0,43.0,46.0,0.010973882905654944,0.104
B,product,uniform,4,120,72,0.6,0.9,0.81,0.8,14,500,1.0,17.736,18.0,19.0,19.0,0.0,0.0
B,product,uniform,4,120,72,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,uniform,4,120,120,1.0,0.0,0.0,0.8,14,500,1.0,55.544,55.0,58.0,59.0,0.0,0.0
B,product,uniform,4,120,120,1.0,0.5,0.25,0.8,14,500,1.0,41.268,40.0,43.0,47.0,0.014993778101228252,0.128
B,product,uniform,4,120,120,1.0,0.9,0.81,0.8,14,500,1.0,17.844,18.0,19.0,19.0,0.0,0.0
B,product,uniform,4,120,120,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
B,product,uniform,4,120,180,1.5,0.0,0.0,0.8,14,500,1.0,55.754,55.0,58.0,59.0,0.0,0.0
B,product,uniform,4,120,180,1.5,0.5,0.25,0.8,14,500,1.0,40.968,40.0,43.0,45.0,0.009971334719474147,0.116
B,product,uniform,4,120,180,1.5,0.9,0.81,0.8,14,500,1.0,17.786,18.0,19.0,19.0,0.0,0.0
B,product,uniform,4,120,180,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
C,product,matched,4,60,60,1.0,0.0,0.0,0.7,9,500,1.0,35.458,35.0,37.0,38.0,0.004908966179675559,0.096
C,product,matched,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.562,62.0,66.0,68.0,0.11408108654952902,0.966
C,product,matched,4,60,60,1.0,0.0,0.0,0.9,22,500,1.0,96.814,96.0,102.0,104.0,0.08124440982725292,1.0
C,product,matched,4,60,60,1.0,0.5,0.25,0.7,9,500,1.0,23.512,23.0,25.0,26.0,0.002568258459292943,0.044
C,product,matched,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,41.66,41.0,45.0,46.0,0.03060459681895557,0.494
C,product,matched,4,60,60,1.0,0.5,0.25,0.9,22,500,1.0,101.25,100.0,113.0,121.0,0.08140321365029596,1.0
C,product,matched,4,60,60,1.0,0.9,0.81,0.7,9,500,1.0,11.262,11.0,12.0,13.0,0.008725274725274722,0.1
C,product,matched,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,17.984,18.0,20.0,20.0,0.019752508742211263,0.292
C,product,matched,4,60,60,1.0,0.9,0.81,0.9,22,500,1.0,30.95,31.0,33.0,34.0,0.03200749604338313,0.564
C,product,matched,4,60,60,1.0,1.0,1.0,0.7,9,500,1.0,9.0,9.0,9.0,9.0,0.0,0.0
C,product,matched,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
C,product,matched,4,60,60,1.0,1.0,1.0,0.9,22,500,1.0,22.0,22.0,22.0,22.0,0.0,0.0
C,product,uniform,4,60,60,1.0,0.0,0.0,0.7,9,500,1.0,35.458,35.0,37.0,38.0,0.004908966179675559,0.096
C,product,uniform,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.562,62.0,66.0,68.0,0.11408108654952902,0.966
C,product,uniform,4,60,60,1.0,0.0,0.0,0.9,22,500,1.0,96.814,96.0,102.0,104.0,0.08124440982725292,1.0
C,product,uniform,4,60,60,1.0,0.5,0.25,0.7,9,500,1.0,26.992,25.0,34.0,38.0,0.10429040977044111,0.554
C,product,uniform,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,71.01,71.0,74.0,75.0,0.4218485569205256,1.0
C,product,uniform,4,60,60,1.0,0.5,0.25,0.9,22,500,1.0,140.582,138.0,156.0,167.0,0.4490099791675209,1.0
