panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block
D,assortative,matched,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,57.772,57.0,63.0,64.0,0.06419548246493553,0.834
D,assortative,matched,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,40.652,40.0,43.0,43.0,0.011715157516757547,0.25
D,assortative,matched,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,23.956,24.0,26.0,27.0,0.004784154491740698,0.09
D,assortative,matched,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,17.242,17.0,19.0,19.0,0.008206890414441904,0.132
D,assortative,matched,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,assortative,matched,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,58.694,58.0,65.0,68.0,0.07817924875284722,0.822
D,assortative,matched,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,40.66,40.0,42.0,44.0,0.013795782851712764,0.272
D,assortative,matched,4,60,90,1.5,0.75,0.5625,0.8,14,500,1.0,24.112,24.0,26.0,27.0,0.005174478688616618,0.096
D,assortative,matched,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,17.278,17.0,19.0,19.0,0.010995534290271135,0.172
D,assortative,matched,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,assortative,uniform,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,54.922,55.0,57.0,57.0,0.0007800002881797953,0.03
D,assortative,uniform,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,47.75,48.0,51.0,51.0,0.15173938050327593,0.992
D,assortative,uniform,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,40.354,40.0,42.0,42.0,0.35043794129515377,1.0
D,assortative,uniform,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,34.282,37.0,37.0,37.0,0.44602550272366853,0.95
D,assortative,uniform,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,assortative,uniform,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,57.772,57.0,63.0,64.0,0.06419548246493553,0.834
D,assortative,uniform,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,65.716,65.0,69.0,71.0,0.34315648714613295,1.0
D,assortative,uniform,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,63.064,63.0,64.0,65.0,0.536209541276198,1.0
D,assortative,uniform,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,46.47,49.5,61.0,61.0,0.5370288517731469,0.95
D,assortative,uniform,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,assortative,uniform,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,58.694,58.0,65.0,68.0,0.07817924875284722,0.822
D,assortative,uniform,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,85.906,89.0,93.0,94.0,0.44246900483554175,1.0
D,assortative,uniform,4,60,90,1.5,0.75,0.5625,0.8,14,500,1.0,91.424,92.0,93.0,94.0,0.6320521652084924,1.0
D,assortative,uniform,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,51.518,49.0,88.0,91.0,0.5521396561266853,0.95
D,assortative,uniform,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,product,matched,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.692,55.0,58.0,59.0,0.0015619370009042105,0.064
D,product,matched,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,41.036,41.0,43.0,44.0,0.013693881994895605,0.324
D,product,matched,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,24.994,25.0,27.0,28.0,0.010812429001394515,0.19
D,product,matched,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,17.98,18.0,20.0,20.0,0.01857357986534188,0.264
D,product,matched,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,product,matched,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.34,62.0,66.0,67.0,0.11243586914684436,0.972
D,product,matched,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,41.664,41.0,44.0,46.0,0.027510736276558274,0.478
D,product,matched,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,24.876,25.0,27.0,28.0,0.011127904803555523,0.2
D,product,matched,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,17.978,18.0,20.0,20.0,0.01866468262223411,0.276
D,product,matched,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,product,matched,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,66.212,64.0,78.0,85.0,0.1714135838509971,0.968
D,product,matched,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,41.75,41.0,44.0,46.0,0.029569928674930388,0.478
D,product,matched,4,60,90,1.5,0.75,0.5625,0.8,14,500,1.0,24.912,24.0,27.0,28.0,0.009223332571622337,0.162
D,product,matched,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,17.946,18.0,20.0,20.0,0.021454663173084226,0.306
D,product,matched,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,product,uniform,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.692,55.0,58.0,59.0,0.0015619370009042105,0.064
D,product,uniform,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,50.466,50.0,53.0,54.0,0.19663878867307472,1.0
D,product,uniform,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,41.774,42.0,43.0,44.0,0.39519974909631156,1.0
D,product,uniform,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,37.302,37.0,39.0,39.0,0.518796610618396,1.0
D,product,uniform,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,product,uniform,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.34,62.0,66.0,67.0,0.11243586914684436,0.972
D,product,uniform,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,71.162,71.0,75.0,76.0,0.4233639221902943,1.0
D,product,uniform,4,60,60,1.0,0.75,0.5625,0.8,14,500,1.0,65.124,65.0,66.0,67.0,0.6048807348159203,1.0
D,product,uniform,4,60,60,1.0,0.9,0.81,0.8,14,500,1.0,59.578,61.0,62.0,62.0,0.6889484196792582,0.998
D,product,uniform,4,60,60,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
D,product,uniform,4,60,90,1.5,0.0,0.0,0.8,14,500,1.0,66.212,64.0,78.0,85.0,0.1714135838509971,0.968
D,product,uniform,4,60,90,1.5,0.5,0.25,0.8,14,500,1.0,98.268,98.0,102.0,103.0,0.5701831646007578,1.0
D,product,uniform,4,60,90,1.5,0.75,0.5625,0.8,14,500,1.0,94.746,95.0,96.0,97.0,0.7208158130042426,1.0
D,product,uniform,4,60,90,1.5,0.9,0.81,0.8,14,500,1.0,88.182,91.0,92.0,92.0,0.7872684217121285,1.0
D,product,uniform,4,60,90,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0
