panel,pairing,policy,n,C,D,Omega,h,H,Theta,K,R,event_fraction,mean_T_tilde,median_T_tilde,q90_T_tilde,q95_T_tilde,mean_blocked_fraction,prob_any_block,T_free_theory,T_theory,delay_theory,first_exhaustion_theory,exact_T_expected,exact_delay_expected,exact_identity_note,T_error
A,product,matched,8,120,120,1.0,0.5,0.25,0.8,14,500,1.0,72.852,72.0,78.0,80.0,0.0190109064799373,0.584,68.8886316901289,68.8886316901189,-1.00044417195022e-11,112.0,,,,3.963368309881105
A,product,matched,8,120,120,1.0,0.75,0.5625,0.8,14,500,1.0,29.33,29.0,32.0,33.0,0.0033777735159523,0.09,27.8683670754845,27.8683670755418,5.729816621169449e-11,96.0,,,,1.461632924458197
A,product,matched,8,120,120,1.0,0.9,0.81,0.8,14,500,1.0,18.302,18.0,20.0,21.0,0.0115217401210536,0.202,17.2221995022255,17.2221995022119,-1.3635315099236298e-11,80.0,,,,1.0798004977880993
A,product,matched,8,120,120,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767768,13.1757146767632,-1.36424205265939e-11,120.0,14.0,0.0,h1_matched_single_carrier,0.8242853232368006
A,product,matched,8,120,180,1.5,0.0,0.0,0.8,14,500,1.0,135.778,134.0,155.0,163.0,0.1984995256839654,1.0,109.3110026055,109.3110026055,0.0,120.0,,,h0_matched_equals_uniform_pathwise,26.466997394499998
A,product,matched,8,120,180,1.5,0.25,0.0625,0.8,14,500,1.0,113.59,112.0,126.0,132.0,0.1089446040095891,1.0,98.9528555532274,98.9528555532161,-1.13686837721616e-11,117.333333333333,,,,14.637144446783907
A,product,matched,8,120,180,1.5,0.5,0.25,0.8,14,500,1.0,73.016,72.0,79.0,81.0,0.0210417560818055,0.622,68.888631690163,68.8886316901189,-4.4110493035987e-11,112.0,,,,4.127368309881106
A,product,matched,8,120,180,1.5,0.75,0.5625,0.8,14,500,1.0,29.37,29.0,32.0,33.0,0.003279383171236,0.08,27.8683670755015,27.8683670755418,4.0245140553452094e-11,96.0,,,,1.5016329244581996
A,product,matched,8,120,180,1.5,0.9,0.81,0.8,14,500,1.0,18.25,18.0,20.0,21.0,0.0095130101147263,0.156,17.2221995022085,17.2221995022119,3.41771055900608e-12,80.0,,,,1.0278004977880997
A,product,matched,8,120,180,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767598,13.1757146767632,3.4106051316484797e-12,120.0,14.0,0.0,h1_matched_single_carrier,0.8242853232368006
A,product,matched,16,240,144,0.6,0.0,0.0,0.8,14,500,1.0,222.202,222.0,227.0,228.0,0.0054047109275255,0.514,219.172692686161,219.172692686145,-1.63709046319127e-11,240.0,,,h0_matched_equals_uniform_pathwise,3.0293073138549858
A,product,matched,16,240,144,0.6,0.25,0.0625,0.8,14,500,1.0,208.38,208.0,219.0,222.0,0.008767219847216,0.67,200.581057618983,200.581057618983,0.0,234.666666666667,,,,7.798942381016985
A,product,matched,16,240,144,0.6,0.5,0.25,0.8,14,500,1.0,148.356,148.0,162.0,165.0,0.0182437926601637,0.84,137.805660751401,137.805660751401,0.0,224.0,,,,10.550339248598988
A,product,matched,16,240,144,0.6,0.75,0.5625,0.8,14,500,1.0,32.734,33.0,35.0,36.0,0.0006691219298417,0.022,31.0054348582253,31.0054348581762,-4.911271389573809e-11,192.0,,,,1.7285651418238004
A,product,matched,16,240,144,0.6,0.9,0.81,0.8,14,500,1.0,18.394,18.0,20.0,21.0,0.0039685126848742,0.074,17.6314199414264,17.6314199414264,0.0,160.0,,,,0.7625800585735973
A,product,matched,16,240,144,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767904,13.1757146767413,-4.911271389573809e-11,240.0,14.0,0.0,h1_matched_single_carrier,0.8242853232586995
A,product,matched,16,240,240,1.0,0.0,0.0,0.8,14,500,1.0,251.108,251.0,259.0,262.0,0.1369143704210637,1.0,219.172692686175,219.172692686188,1.36424205265939e-11,240.0,,,h0_matched_equals_uniform_pathwise,31.935307313812018
A,product,matched,16,240,240,1.0,0.25,0.0625,0.8,14,500,1.0,233.302,233.0,249.0,253.0,0.1180901481415492,1.0,200.581057618956,200.581057618969,1.2732925824821e-11,234.666666666667,,,,32.720942381030994
A,product,matched,16,240,240,1.0,0.5,0.25,0.8,14,500,1.0,150.16,149.0,166.0,172.0,0.0235745108851084,0.864,137.805660751428,137.805660751379,-4.911271389573809e-11,224.0,,,,12.354339248620988
A,product,matched,16,240,240,1.0,0.75,0.5625,0.8,14,500,1.0,32.74,33.0,35.0,36.0,0.0005737798149562,0.02,31.0054348581843,31.0054348581762,-8.18545231595635e-12,192.0,,,,1.7345651418238006
A,product,matched,16,240,240,1.0,0.9,0.81,0.8,14,500,1.0,18.394,18.0,20.0,21.0,0.0049200867782103,0.09,17.6314199414264,17.6314199413901,-3.6372682643559496e-11,160.0,,,,0.762580058609899
A,product,matched,16,240,240,1.0,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767768,13.1757146767632,-1.36424205265939e-11,240.0,14.0,0.0,h1_matched_single_carrier,0.8242853232368006
A,product,matched,16,240,360,1.5,0.0,0.0,0.8,14,500,1.0,273.406,270.0,302.0,319.0,0.2080715420553479,1.0,219.172692686192,219.172692686188,-3.4106051316484797e-12,240.0,,,h0_matched_equals_uniform_pathwise,54.23330731381202
A,product,matched,16,240,360,1.5,0.25,0.0625,0.8,14,500,1.0,237.082,235.0,260.0,268.0,0.1300768549162875,1.0,200.581057618973,200.581057618969,-4.32009983342141e-12,234.666666666667,,,,36.500942381030995
A,product,matched,16,240,360,1.5,0.5,0.25,0.8,14,500,1.0,150.336,149.0,167.0,171.0,0.0256835948934501,0.866,137.805660751411,137.805660751379,-3.2059688237495695e-11,224.0,,,,12.530339248621004
A,product,matched,16,240,360,1.5,0.75,0.5625,0.8,14,500,1.0,32.952,33.0,36.0,37.0,0.0003291728260768,0.012,31.0054348581843,31.0054348581762,-8.18545231595635e-12,192.0,,,,1.9465651418237968
A,product,matched,16,240,360,1.5,0.9,0.81,0.8,14,500,1.0,18.518,18.0,20.0,21.0,0.0061357689348536,0.112,17.6314199414264,17.6314199413901,-3.6372682643559496e-11,160.0,,,,0.8865800586099013
A,product,matched,16,240,360,1.5,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767598,13.1757146767632,3.4106051316484797e-12,240.0,14.0,0.0,h1_matched_single_carrier,0.8242853232368006
A,product,uniform,4,60,36,0.6,0.0,0.0,0.8,14,500,1.0,55.654,55.0,58.0,59.0,0.0017959561301458,0.068,54.3794587231332,54.3794587231168,-1.63709046319127e-11,60.0,,,h0_matched_equals_uniform_pathwise,1.2745412768832054
A,product,uniform,4,60,36,0.6,0.25,0.0625,0.8,14,500,1.0,54.136,54.0,58.0,59.0,0.0487029000304974,0.758,50.6925168637645,51.8266923620249,1.13417549826045,34.2857142857143,,,,2.3093076379751025
A,product,uniform,4,60,36,0.6,0.5,0.25,0.8,14,500,1.0,50.552,50.0,54.0,54.0,0.1984343788388928,0.998,39.6782912489653,50.0482325304765,10.3699412815113,24.0,,,,0.5037674695235026
A,product,uniform,4,60,36,0.6,0.75,0.5625,0.8,14,500,1.0,41.76,42.0,43.0,44.0,0.3969061545634703,1.0,23.5651179678098,40.8791501474737,17.3140321796639,18.4615384615385,,,,0.8808498525262962
A,product,uniform,4,60,36,0.6,0.9,0.81,0.8,14,500,1.0,37.288,37.0,38.0,39.0,0.5197230704727736,1.0,16.4692194683357,36.2423579550334,19.7731384866977,16.2162162162162,,,,1.0456420449665984
A,product,uniform,4,60,36,0.6,1.0,1.0,0.8,14,500,1.0,14.0,14.0,14.0,14.0,0.0,0.0,13.1757146767904,13.1757146767632,-2.72848410531878e-11,15.0,14.0,0.0,h1_uniform_learning_fits_window,0.8242853232368006
A,product,uniform,4,60,60,1.0,0.0,0.0,0.8,14,500,1.0,61.718,62.0,66.0,68.0,0.1158479010455875,0.972,54.3794587231332,54.3794587231605,2.72848410531878e-11,60.0,,,h0_matched_equals_uniform_pathwise,7.3385412768395
A,product,uniform,4,60,60,1.0,0.25,0.0625,0.8,14,500,1.0,68.264,68.0,73.0,75.0,0.24656880346228,1.0,50.6925168637508,68.3414052016035,17.6488883378527,34.2857142857143,,,,-0.07740520160349718
A,product,uniform,4,60,60,1.0,0.5,0.25,0.8,14,500,1.0,70.97,71.0,74.0,76.0,0.4222610621689169,1.0,39.6782912489243,71.1167987537629,31.4385075048385,24.0,,,,-0.1467987537628943
