"architecture","seed","NG","NT","n_runs","n_converged","n_nonconverged","convergence_rate","nonconvergence_rate","T_conv_mean","T_conv_median","T_conv_p75","T_conv_p90","T_conv_p95","T_conv_min","T_conv_max","T_cens_mean","T_cens_median","T_cens_p75","T_cens_p90","T_cens_p95","T_cens_min","T_cens_max","final_RB_mean","final_RB_median","final_RB_min","final_RB_max","total_edges_mean","total_edges_median","mean_degree_mean","mean_degree_median","max_degree_mean","max_degree_median","boundary_edges_mean","boundary_edges_median"
"baseline",13345,10,20,200,200,0,1,0,7521.105,6962.5,8816,11308.8,12269.05,3395,18216,7521.105,6962.5,8816,11308.8,12269.05,3395,18216,0.8346004159,0.820855615,0.8,0.8888888889,88.6,90.5,4.43,4.525,9.4,9.5,12.4,10.5
"random_bridging",14345,10,20,200,200,0,1,0,6943.7,6613,7817,9522.4,10854,3583,14876,6943.7,6613,7817,9522.4,10854,3583,14876,0.8333333333,0.8333333333,0.8333333333,0.8333333333,85.3,87.5,4.265,4.375,9.2,9.5,12,12
"boundary_spanning",15345,10,20,200,200,0,1,0,4730.63,4555.5,5245.75,6000.4,6584.3,2324,9752,4730.63,4555.5,5245.75,6000.4,6584.3,2324,9752,0.8333333333,0.8333333333,0.8333333333,0.8333333333,93.6,95,4.68,4.75,10.7,10.5,12,12
